SIZE,SIZE_NUMBER,OD,5S,5,10S,10,20,30,40S,40,STD,60,80S,XS,80,100,120,140,160,XXS
"1/2""",0.5,21.3,1.65,1.65,2.11,2.11,,2.41,2.77,2.77,2.77,,3.73,3.73,3.73,,,,4.78,7.47
"3/4""",0.75,26.7,1.65,1.65,2.11,2.11,,2.41,2.87,2.87,2.87,,3.91,3.91,3.91,,,,5.56,7.82
"1""",1,33.4,1.65,1.65,2.77,2.77,,2.9,3.38,3.38,3.38,,4.55,4.55,4.55,,,,6.35,9.09
"1-1/2""",1.5,48.3,1.65,1.65,2.77,2.77,,3.18,3.68,3.68,3.68,,5.08,5.08,5.08,,,,7.14,10.15
"2""",2,60.3,1.65,1.65,2.77,2.77,,3.18,3.91,3.91,3.91,,5.54,5.54,5.54,,,,8.74,11.07
"3""",3,88.9,2.11,2.11,3.05,3.05,,4.78,5.49,5.49,5.49,,7.62,7.62,7.62,,,,11.13,15.24
"4""",4,114.3,2.11,2.11,3.05,3.05,,4.78,6.02,6.02,6.02,,8.56,8.56,8.56,,11.13,,13.49,17.12
"6""",6,168.3,2.77,2.77,3.4,3.4,,,7.11,7.11,7.11,,10.97,10.97,10.97,,14.27,,18.26,21.95
"8""",8,219.1,2.77,2.77,3.76,3.76,6.35,7.04,8.18,8.18,8.18,10.31,12.7,12.7,12.7,15.09,18.26,20.62,23.01,22.23
"10""",10,273,3.4,3.4,4.19,4.19,6.35,7.8,9.27,9.27,9.27,12.7,12.7,12.7,15.09,18.26,21.44,25.4,28.58,25.4
"12""",12,323.8,3.96,3.96,4.57,4.57,6.35,8.38,9.53,10.31,9.53,14.27,12.7,12.7,17.48,21.44,25.4,28.58,33.31,25.4
"14""",14,355.6,3.96,3.96,4.78,6.35,7.92,9.53,9.53,11.13,9.53,15.09,12.7,12.7,19.05,23.83,27.79,31.75,35.71,
"16""",16,406.4,4.19,4.19,4.78,6.35,7.92,9.53,9.53,12.7,9.53,16.66,12.7,12.7,21.44,26.19,30.96,36.53,40.49,
"18""",18,457,4.19,4.19,4.78,6.35,7.92,11.13,9.53,14.27,9.53,19.05,12.7,12.7,23.83,29.36,34.93,39.67,45.24,
"20""",20,508,4.78,4.78,5.54,6.35,9.53,12.7,9.53,15.09,9.53,20.62,12.7,12.7,26.19,32.54,38.1,44.45,50.01,
"24""",24,610,5.54,5.54,6.35,6.35,9.53,14.27,9.53,17.48,9.53,24.61,12.7,12.7,30.96,38.89,46.02,52.31,59.54,